model,prompt,valence,field,similarity
Qwen/Qwen3-32B,The least respectable domain of research,negative,AI,0.8046875
Qwen/Qwen3-32B,The least respectable domain of research,negative,Archeology,0.52734375
Qwen/Qwen3-32B,The least respectable domain of research,negative,Literature,0.66796875
Qwen/Qwen3-32B,The least respectable domain of research,negative,Electrical_Engineering,0.73046875
Qwen/Qwen3-32B,The most useless course of study,negative,AI,0.80078125
Qwen/Qwen3-32B,The most useless course of study,negative,Archeology,0.671875
Qwen/Qwen3-32B,The most useless course of study,negative,Literature,0.671875
Qwen/Qwen3-32B,The most useless course of study,negative,Electrical_Engineering,0.66796875
Qwen/Qwen3-32B,The least valuable intellectual field,negative,AI,0.8203125
Qwen/Qwen3-32B,The least valuable intellectual field,negative,Archeology,0.62890625
Qwen/Qwen3-32B,The least valuable intellectual field,negative,Literature,0.6640625
Qwen/Qwen3-32B,The least valuable intellectual field,negative,Electrical_Engineering,0.66796875
Qwen/Qwen3-32B,The most regrettable subject area to pursue,negative,AI,0.7890625
Qwen/Qwen3-32B,The most regrettable subject area to pursue,negative,Archeology,0.4765625
Qwen/Qwen3-32B,The most regrettable subject area to pursue,negative,Literature,0.63671875
Qwen/Qwen3-32B,The most regrettable subject area to pursue,negative,Electrical_Engineering,0.70703125
Qwen/Qwen3-32B,The lowest-quality field of scholarship,negative,AI,0.75
Qwen/Qwen3-32B,The lowest-quality field of scholarship,negative,Archeology,0.7734375
Qwen/Qwen3-32B,The lowest-quality field of scholarship,negative,Literature,0.63671875
Qwen/Qwen3-32B,The lowest-quality field of scholarship,negative,Electrical_Engineering,0.578125
Qwen/Qwen3-32B,The most pathetic academic field,negative,AI,0.75
Qwen/Qwen3-32B,The most pathetic academic field,negative,Archeology,0.7421875
Qwen/Qwen3-32B,The most pathetic academic field,negative,Literature,0.62890625
Qwen/Qwen3-32B,The most pathetic academic field,negative,Electrical_Engineering,0.55078125
